"61","2018-06-05","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","2 x luidspekerstaanders",,,"1800",,,"CTYGER4401"
"62","2018-06-05","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","3 x bladmusiekstaanders",,,"3000",,,"CTYGER4401"
"63","2018-06-05","Tygerberg","9199","32 dahlia st, proteahoogte","allrisk","amilo L13710 skootrekenaar en sak ","YL1R061171",,"6500",,,"CTYGER4401"
"64","2018-06-05","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","lapel microphone /JTS UHF PT - 900B. ","DK800",,"6800",,,"CTYGER4401"
"65","2018-06-05","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","Wharfedale EVP-15 MP monitor (powered)","W99E30122",,"5800",,,"CTYGER4401"
"66","2018-06-05","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","Wharfedale EVP-15 MP monitor (non-powered)","W00V501368",,"3000",,,"CTYGER4401"
"67","2018-06-05","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","Wharfedale power speakers Tyton 12A","12A021707G & 12A021694G",,"30000",,,"CTYGER4401"
"68","2018-06-05","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","2 JBL 15"" 2-way active stage monitor","12403 &12379",,"35000",,,"CTYGER4401"
"69","2018-06-05","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","6 Shure UHF wireless handheld system",,,"37500",,,"CTYGER4401"
"70","2018-06-05","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","SHURE SUBLIME EARSET MICROPHONE","1LB2059719",,"6300",,,"CTYGER4401"
"71","2018-06-05","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","veelsydige verlengingskoord (snake)",,,"2800",,,"CTYGER4401"
"72","2018-06-05","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","SHURE MX412/C Phantom gooseneck mikrofoon",,,"3500",,,"CTYGER4401"
"73","2018-06-05","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","Samson desktop condencer microphone",,,"3800",,,"CTYGER4401"
"74","2018-06-05","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","Shure wireless UHF Guitar system",,,"6500",,,"CTYGER4401"
"75","2018-06-05","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","Viscount orrel: domus DK800 met speakers",,,"120000",,,"CTYGER4401"
